import_id,product_name,fiscal_year,value,quantity
1,"Jet-A-1/SKO/Mogas/HSD & Marine Fuel",2016-17,14433.91,3871432.00
2,"Lubricating Base Oil",2016-17,0.00,0.00
3,"Furnace Oil",2016-17,1240.66,521199.00
4,"Jet-A-1/SKO/Mogas/HSD & Marine Fuel",2017-18,23300.67,4892089.00
5,"Lubricating Base Oil",2017-18,0.00,0.00
6,"Furnace Oil",2017-18,2091.52,650540.00
7,"Jet-A-1/SKO/Mogas/HSD & Marine Fuel",2018-19,23376.50,4281958.00
8,"Lubricating Base Oil",2018-19,0.00,0.00
9,"Furnace Oil",2018-19,1282.49,318634.00
10,"Jet-A-1/SKO/Mogas/HSD & Marine Fuel",2019-20,17045.81,3873131.61
11,"Lubricating Base Oil",2019-20,0.00,0.00
12,"Furnace Oil",2019-20,687.04,175693.95
13,"Jet-A-1/SKO/Mogas/HSD & Marine Fuel",2020-21,16805.64,4174726.06
14,"Lubricating Base Oil",2020-21,0.00,0.00
15,"Furnace Oil",2020-21,151.41,47923.72
16,"Jet-A-1/SKO/Mogas/HSD & Marine Fuel",2021-22,38276.98,4809132.00
17,"Lubricating Base Oil",2021-22,0.00,0.00
18,"Furnace Oil",2021-22,1710.86,316086.19
19,"Jet-A-1/SKO/Mogas/HSD & Marine Fuel",2022-23,48795.87,4850851.00
20,"Lubricating Base Oil",2022-23,0.00,0.00
21,"Furnace Oil",2022-23,2146.07,435592.00
22,"Jet-A-1/SKO/Mogas/HSD & Marine Fuel",2023-24,42067.74,4388063.00
23,"Lubricating Base Oil",2023-24,0.00,0.00
24,"Furnace Oil",2023-24,4102.61,660856.76
25,"Jet-A-1/SKO/Mogas/HSD & Marine Fuel",2024-25,35632.52,4091845.49
26,"Lubricating Base Oil",2024-25,0.00,0.00
27,"Furnace Oil",2024-25,3145.94,516036.47
