production_id,report_date,daily_production_avg_mt,monthly_production_mt,field_id,org_id
1,26-Mar,3000.00,81257.85,1,14
2,26-Jan,2200.00,3330.93,1,14
3,25-Dec,2200.00,54977.20,1,14
4,25-Nov,2200.00,99668.80,1,14
5,25-Oct,2200.00,96126.10,1,14
6,25-Sep,2200.00,96828.00,1,14
7,25-Aug,2200.00,75800.00,1,14
8,25-Jul,2200.00,7993.24,1,14
9,26-May,2200.00,105561.87,1,14
10,25-Apr,2200.00,118130.54,1,14
11,25-Mar,2200.00,109527.44,1,14
12,25-Feb,2200.00,100347.20,1,14
13,25-Jan,2200.00,50000.00,1,14
14,24-Dec,2200.00,22386.32,1,14
15,24-Nov,2200.00,103282.92,1,14
16,24-Oct,2200.00,124097.81,1,14
17,24-Jul,2200.00,8925.28,1,14
18,24-Jun,2200.00,83830.60,1,14
19,24-May,2200.00,102943.95,1,14
20,24-Apr,2200.00,118383.79,1,14
21,24-Mar,2200.00,117460.62,1,14
22,24-Feb,2200.00,32283.80,1,14
23,24-Jan,2200.00,8058.30,1,14
24,23-Dec,2200.00,87492.08,1,14
25,23-Nov,2200.00,113166.74,1,14
26,23-Oct,2200.00,75801.47,1,14
27,23-Sep,2200.00,5001.30,1,14
28,23-Aug,2200.00,64254.81,1,14
29,23-Jul,2200.00,102438.56,1,14
30,23-Jun,2200.00,115880.37,1,14
31,23-Apr,2200.00,9158.71,1,14
32,23-Mar,2200.00,4772.52,1,14
33,23-Feb,2200.00,52495.56,1,14
34,23-Jan,2200.00,57152.41,1,14
35,22-Dec,2200.00,97577.06,1,14
36,22-Nov,2200.00,126522.10,1,14
37,22-Oct,2200.00,71304.80,1,14
38,22-Sep,2200.00,88579.38,1,14
39,22-Aug,2200.00,53032.55,1,14
40,Jul-22,1700.00,8303.63,1,14
41,Jun-22,1800.00,5422.01,1,14
42,May-22,1800.00,761.69,1,14
43,Apr-22,1800.00,78105.31,1,14
44,Mar-22,1800.00,89545.32,1,14
45,Feb-22,1800.00,23232.26,1,14
46,Jan-22,1800.00,73509.43,1,14
