substation_id,substation_name,operation_zone,transformer_detail,total_capacity_mva,grid_circle,org_id
1,"BIPTC 1st Block",Khulna,"1x500 MW",500.00,HVDC,24
2,"BIPTC 2nd Block",Khulna,"1x500 MW",500.00,HVDC,24
3,Aminbazar,Dhaka,3x520,1560.00,Dhaka(N),24
4,"Amtali Switching",Barishal,NULL,NULL,Khulna,24
5,"Ashuganj (N)",Cumilla,2x244/325,650.00,Cumilla,19
6,Bhulta,Dhaka,2x520,1040.00,Dhaka(S),24
7,Bibiyana,Sylhet,2x520,1040.00,Cumilla,24
8,"Bogura (W)",Rajshahi,3x750,2250.00,Bogura,24
9,"Gopalganj (N)",Khulna,2x750,1500.00,Khulna,24
10,Kaliakoir,Dhaka,2x520,1040.00,Dhaka(N),24
11,Korerhat,Chattogram,2x1000,2000.00,Chattogram,24
12,Meghnaghat,Dhaka,3x750,2250.00,Dhaka(S),24
13,Madunaghat,Chattogram,3x750,2250.00,Chattogram,24
14,Rampal,Khulna,2x520,1040.00,Khulna,22
15,RNPP,Rajshahi,2x520,1040.00,HVDC,25
16,"Gopalganj (N)",Khulna,3x325,975.00,Khulna,24
17,Kaliakoir,Dhaka,"3x325,1x300",1275.00,Dhaka(N),24
18,Rahanpur,Rajshahi,2x520,1040.00,Bogura,24
19,Payra,Barishal,2x325,650.00,Khulna,24
20,Agargaon,Dhaka,2x300,600.00,Dhaka(N),24
21,Aminbazar,Dhaka,3x225,675.00,Dhaka(N),24
22,Ashuganj,Cumilla,2x300,600.00,Cumilla,19
23,Baghabari,Rajshahi,"1x225,1x300",525.00,HVDC,24
24,Barapukuria,Rangpur,"2x225,1x225/300",750.00,Bogura,24
25,"Barishal (N)",Barishal,2x300,600.00,Khulna,24
26,Bheramara,Khulna,2x225,450.00,HVDC,24
27,Bhulta,Dhaka,2x300,600.00,Dhaka(S),24
28,"Bogura (S)",Rajshahi,"2x225(7x75),2x225/300",1050.00,Bogura,24
29,Chowmuhani,Cumilla,2x350,700.00,Cumilla,24
30,"Cumilla (N)",Cumilla,3x225,675.00,Cumilla,24
31,Faridpur,Khulna,2x350,700.00,Khulna,24
32,Fenchuganj,Sylhet,2x300,600.00,Cumilla,24
33,"Feni (N)",Cumilla,2x300,600.00,Cumilla,24
34,Ghorashal,Dhaka,2x125,250.00,Dhaka(S),16
35,Haripur,Dhaka,3x225(10x75),675.00,Dhaka(S),24
36,Hasnabad,Dhaka,3x225(10x75),675.00,Dhaka(S),24
37,Hathazari,Chattogram,4x150,600.00,Chattogram,24
38,Jhenaidah(S),Khulna,2x300,600.00,HVDC,24
39,Ishwardi,Rajshahi,3x225,675.00,HVDC,24
40,Kachua,Cumilla,2x350,700.00,Cumilla,24
41,Keraniganj,Dhaka,3x300,900.00,Dhaka(S),24
42,"Khulna (S)",Khulna,"2x225(7x75),1x300",750.00,Khulna,24
43,Madunaghat,Chattogram,3x300,900.00,Chattogram,24
44,Maniknagar,Dhaka,2x300,600.00,Dhaka(S),24
45,"Meghnaghat Switching",Dhaka,NULL,NULL,Dhaka(S),24
46,Purbasadipur,Rangpur,2x300,600.00,Bogura,24
47,Rajshahi(N),Rajshahi,2x300,600.00,Bogura,24
48,Rampura,Dhaka,3x450,1350.00,Dhaka(S),24
49,Rampur,Chattogram,2x300,600.00,Chattogram,24
50,Siddhirganj,Dhaka,2x300,600.00,Dhaka(S),24
51,"Sirajganj Switching",Rajshahi,NULL,NULL,Bogura,24
