plant_id,station_name,fuel_type,installed_capacity,present_capacity_mw,org_id
1,"Bheramara (HVDC )",NULL,2X500,1000.00,24
2,HVDC(Nepal),NULL,1*40,40.00,24
3,"Adani Power Jharkhanda Ltd",NULL,2*673,1435.88,24
4,"Ghorasal Repowered CCPP Unit-3",NULL,1*260,260.00,16
5,"Bheramara GTPP Unit-3",NULL,1X20,16.00,16
6,"Faridpur 50 MW Peaking PP",NULL,8*6.89,54.00,16
7,"Khulna 225 MW CCPP",NULL,1X150+1X75,230.00,17
8,"Gopalganj 100 MW Peaking PP",NULL,16*6.98,109.00,16
9,"Bheramara 410 MW CCPP",NULL,1X278+1X132,410.00,17
10,"Rupsha 105 MW PP (Orion rupsha)",NULL,6*18.445,105.00,23
11,"Madhumati 100 MW PP",NULL,6*18,105.00,17
12,"Mongla Orion 100 MW Solar PP",NULL,100,100.00,23
13,"Khulna 330 MW CCPP",NULL,1*220+1*110,336.00,16
14,"Rampal 1320 MW (BIFPCL)",NULL,660*2,1148.28,16
15,"Barisal 110 MW PP (Summit )",NULL,7X17.076,110.00,23
16,"Bhola 33 MW PP (Venture)",NULL,1X34.50,11.04,23
17,"Bhola 225 MW CCPP",NULL,2X63+1X68,194.00,16
18,"Payra 1320 MW",NULL,2*622,1085.32,21
19,"Bhola Nutan Biddut BD LTD",NULL,2*75+1*75,220.00,23
20,"United Payra Power Ltd.",NULL,8*18.5+1*9.5,150.00,23
21,"Barisal 307 MW",NULL,307X1,307.00,21
22,"Barisal 1 MW Solar Plant",NULL,NULL,1.00,23
23,"Baghabari 71 MW GTPP",NULL,1X71,70.00,16
24,"Baghabari 50 MW Peaking PP",NULL,6*8.9,52.00,16
25,"Siddhirgonj 210 MW TPP",NULL,1*210,115.00,16
26,"Bera 70 MW Peaking PP",NULL,9*8.29,71.00,16
27,"Katakhali 50 MW Peaking PP",NULL,6*8.7,50.00,16
28,"Sirajgonj 225MW CCPP Unit-1",NULL,1*150+1*75,214.00,17
29,"Sirajgonj 225MW CCPP Unit-2",NULL,1*150+1*75,220.00,17
30,"Sirajgonj 225MW CCPP Unit-3",NULL,1*141,220.00,17
31,"Sirajgonj 400 MW CCPP Unit-4",NULL,1*282+1*132,413.79,17
32,"Santahar 50 MW Peaking PP",NULL,6*8.7,50.00,16
33,"Natore 52 MW PP (Rajlanka)",NULL,6*8.92,52.20,23
34,"Siddhirgonj 2*120 MW GTPP",NULL,2*105,210.00,18
35,"Chapainawabganj 100 MW Peaking PP",NULL,12*8.924,104.00,16
36,"Bagura 113 MW PP (Confidence)-2",NULL,6*18.55+7.2,113.00,23
37,"Bagura 113 MW PP (Confidence)-1",NULL,6*18.55,113.00,23
38,"Sirajgonj 6.55 MW Solar",NULL,NULL,6.09,17
