record_id,category,particulars,fiscal_year,value,org_id
1,"Financial Performance",Revenue,2020-2021,17866.23,9
2,"Financial Performance",Revenue,2021-2022,18370.24,9
3,"Financial Performance",Revenue,2022-2023,26508.84,9
4,"Financial Performance",Revenue,2023-2024,35692.92,9
5,"Financial Performance",Revenue,2024-2025,35428.89,9
6,"Financial Performance","Cost of Sales",2020-2021,17188.12,9
7,"Financial Performance","Cost of Sales",2021-2022,17659.70,9
8,"Financial Performance","Cost of Sales",2022-2023,26350.48,9
9,"Financial Performance","Cost of Sales",2023-2024,35365.45,9
10,"Financial Performance","Cost of Sales",2024-2025,35407.77,9
11,"Financial Performance","Gross Profit",2020-2021,678.12,9
12,"Financial Performance","Gross Profit",2021-2022,710.54,9
13,"Financial Performance","Gross Profit",2022-2023,158.36,9
14,"Financial Performance","Gross Profit",2023-2024,327.46,9
15,"Financial Performance","Gross Profit",2024-2025,21.12,9
16,"Financial Performance","Profit before Tax",2020-2021,433.15,9
17,"Financial Performance","Profit before Tax",2021-2022,386.86,9
18,"Financial Performance","Profit before Tax",2022-2023,-177.90,9
19,"Financial Performance","Profit before Tax",2023-2024,128.15,9
20,"Financial Performance","Profit before Tax",2024-2025,-66.89,9
21,"Financial Performance","Net Profit after Tax",2020-2021,345.98,9
22,"Financial Performance","Net Profit after Tax",2021-2022,318.02,9
23,"Financial Performance","Net Profit after Tax",2022-2023,-165.14,9
24,"Financial Performance","Net Profit after Tax",2023-2024,-744.08,9
25,"Financial Performance","Net Profit after Tax",2024-2025,-772.04,9
26,"Financial Position","Paid up Capital",2020-2021,989.22,9
27,"Financial Position","Paid up Capital",2021-2022,989.22,9
28,"Financial Position","Paid up Capital",2022-2023,989.22,9
29,"Financial Position","Paid up Capital",2023-2024,989.22,9
30,"Financial Position","Paid up Capital",2024-2025,989.22,9
31,"Financial Position","Retained Earnings",2020-2021,5907.87,9
32,"Financial Position","Retained Earnings",2021-2022,6008.26,9
33,"Financial Position","Retained Earnings",2022-2023,5744.20,9
34,"Financial Position","Retained Earnings",2023-2024,4950.66,9
35,"Financial Position","Retained Earnings",2024-2025,4157.29,9
36,"Financial Position","Fixed Assets",2020-2021,979.19,9
37,"Financial Position","Fixed Assets",2021-2022,977.52,9
38,"Financial Position","Fixed Assets",2022-2023,958.36,9
39,"Financial Position","Fixed Assets",2023-2024,4829.06,9
40,"Financial Position","Fixed Assets",2024-2025,5600.42,9
41,"Financial Position","Long-term Loan",2020-2021,322.68,9
42,"Financial Position","Long-term Loan",2021-2022,390.07,9
43,"Financial Position","Long-term Loan",2022-2023,404.93,9
44,"Financial Position","Long-term Loan",2023-2024,479.04,9
45,"Financial Position","Long-term Loan",2024-2025,450.90,9
46,"Financial Position","Current Assets",2020-2021,12732.79,9
47,"Financial Position","Current Assets",2021-2022,12419.59,9
48,"Financial Position","Current Assets",2022-2023,18061.05,9
49,"Financial Position","Current Assets",2023-2024,23971.56,9
50,"Financial Position","Current Assets",2024-2025,27109.76,9
51,"Financial Position","Current Liabilities",2020-2021,7919.81,9
52,"Financial Position","Current Liabilities",2021-2022,7956.45,9
53,"Financial Position","Current Liabilities",2022-2023,13700.11,9
54,"Financial Position","Current Liabilities",2023-2024,20384.88,9
55,"Financial Position","Current Liabilities",2024-2025,24064.70,9
56,"Cash Flows",NOCFPS,2020-2021,-1.11,9
57,"Cash Flows",NOCFPS,2021-2022,0.30,9
58,"Cash Flows",NOCFPS,2022-2023,12.30,9
59,"Cash Flows",NOCFPS,2023-2024,5.63,9
60,"Cash Flows",NOCFPS,2024-2025,18.17,9
61,"Financial Ratios","Current Ratio",2020-2021,1.61,9
62,"Financial Ratios","Current Ratio",2021-2022,1.56,9
63,"Financial Ratios","Current Ratio",2022-2023,1.32,9
64,"Financial Ratios","Current Ratio",2023-2024,1.18,9
65,"Financial Ratios","Current Ratio",2024-2025,1.13,9
66,"Financial Ratios","Liquidity Ratio",2020-2021,1.01,9
67,"Financial Ratios","Liquidity Ratio",2021-2022,0.92,9
68,"Financial Ratios","Liquidity Ratio",2022-2023,0.90,9
69,"Financial Ratios","Liquidity Ratio",2023-2024,0.84,9
70,"Financial Ratios","Liquidity Ratio",2024-2025,0.81,9
71,"Financial Ratios","Return on Fixed Assets (%)",2020-2021,34.57,9
72,"Financial Ratios","Return on Fixed Assets (%)",2021-2022,32.63,9
73,"Financial Ratios","Return on Fixed Assets (%)",2022-2023,-16.77,9
74,"Financial Ratios","Return on Fixed Assets (%)",2023-2024,-26.00,9
75,"Financial Ratios","Return on Fixed Assets (%)",2024-2025,-14.70,9
76,"Financial Ratios","Debt Equity Ratio (Debt%)",2020-2021,4.00,9
77,"Financial Ratios","Debt Equity Ratio (Debt%)",2021-2022,5.00,9
78,"Financial Ratios","Debt Equity Ratio (Debt%)",2022-2023,5.00,9
79,"Financial Ratios","Debt Equity Ratio (Debt%)",2023-2024,5.00,9
80,"Financial Ratios","Debt Equity Ratio (Debt%)",2024-2025,5.00,9
81,"Financial Ratios","Debt Service Ratio",2020-2021,35.27,9
82,"Financial Ratios","Debt Service Ratio",2021-2022,30.11,9
83,"Financial Ratios","Debt Service Ratio",2022-2023,-1.94,9
